0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318
great,game,way,many,rocks,i,playing,perfectly,well,great,time,rocks,row,come,on,i,time,jump,them,it,makes,fall,lose,scarf,streak,it,is,frustrating,annoying,please,fix,may,be,make,turn,obstacles,zen,mode,thank,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,occasional,user,fun,side,scroller,zen,mode,great,practice,i,difficulty,small,screen,due,placement,pause,icon,where,sits,currently,great,place,control,game,avatar,thumb,obscuring,side,scrolling,screen,keep,hitting,icon,inadvertently,pro,length,play,enjoyable,old,school,fun,invulnerable,zen,mode,con,game,pause,icon,gets,way,would,nice,repositionable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,playing,original,game,day,thinking,sad,there,is,certain,amount,goals,get,through,i,reset,go,exact,goals,again,i,love,new,color,schemes,graphics,new,music,matter,much,i,turn,volume,music,still,quiet,i,issues,jumping,chasms,they,are,marginally,long,jump,across,i,love,wall,riding,concept,it,is,fun,introduces,new,element,gameplay,i,agree,reviews,tutorial,excessive,gave,hint,tip,twenty,times,after,i,would,crash,landed,once,game,gave,tip,back,tap,something,wall,ride,better,something,tutorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazing,game,i,love,detail,amount,effort,put,designing,well,first,one,job,well,done,also,i,wanted,bring,problem,i,have,having,there,is,music,background,i,like,it,relaxing,i,watch,first,ad,it,will,start,glitching,repeating,certain,parts,song,super,frustrating,distracting,please,fix,otherwise,i,would,give,stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantastic,sequel,fantastic,game,lived,almost,expectations,glitching,way,stops,able,pass,level,i,am,stuck,land,backflips,within,m,matter,many,extra,backflips,i,past,stuck,i,am,even,given,option,pay,coins,skip,it,cm,on,guys,game,i,play,phone,anymore,kind,of,disappointing,there,is,point,playing,anymore,i,am,like,even,half,way,levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incredible,game,it,is,relaxing,great,way,kill,time,great,graphics,top,additionally,hard,easy,i,small,complaint,though,i,am,currently,stuck,level,specifically,smash,crate,drop,air,goal,i,have,definitely,smashed,several,crates,radio,air,i,am,completing,quest,is,bug,i,perhaps,something,wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,is,amazing,game,i,really,love,it,but,glitches,sky,is,mash,rock,just,s,ruins,enviroments,little,and,sometimes,chasm,jumps,quests,almost,impossible,doi,might,bad,i,highly,doubt,reason,but,game,amazing,graphics,great,i,saved,a,lot,screenshots,game,it,is,beautiful,atom,phe,are,really,feels,like,adventure,endless,dessert,keep,good,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,think,arguably,one,best,mobile,games,gameplay,simple,fun,aesthetics,pretty,app,purchase,reasonable,fair,ads,that,said,things,frustrating,such,game,recognizing,i,want,wall,ride,instead,making,backflip,fall,pit,thus,ending,run,also,high,speeds,rocks,obstacles,seem,appear,nowhere,night,theme,makes,seeing,obstacles,lot,harder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easily,favorite,game,app,store,altos,odyssey,work,art,it,opinion,perfect,mobile,game,stunning,visuals,beautiful,soundtrack,intuitive,controls,exciting,gameplay,the,best,part,never,seems,get,old,i,would,rate,stars,lot,overshadowed,fact,watch,videos,pay,unlock,things,it,comes,cheap,i,wish,devs,would,charge,game,instead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,graphics,absolutely,gorgeous,soundtrack,beautiful,gives,serious,journey,osd,vibes,the,problem,i,rocks,clearly,identifiable,sometimes,i,will,trip,rocki,even,know,especially,night,flips,pretty,slow,but,amazing,game,i,highly,recommend,zen,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
