0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Great game way many rocks.,I playing perfectly well great time rocks row come on I time jump them.,It makes fall lose scarf streak It is frustrating annoying.,Please fix maybe make turn obstacles zen mode.,Thank you.,,,,,,,,,,
I occasional user.,Fun side scroller.,Zen mode great practice.,I difficulty small screen due placement pause icon.,Where sits currently great place control game avatar thumb obscuring sidescrolling screen keep hitting icon inadvertently.,Pro length play enjoyable oldschool fun invulnerable Zen mode Con game pause icon gets way would nice repositionable.,,,,,,,,,
I playing original game day thinking sad there is certain amount goals get through I reset go exact goals again.,I love new color schemes graphics new music matter much I turn volume music still quiet.,I issues jumping chasms they are marginally long jump across.,I love wall riding concept.,It is fun introduces new element game play I agree reviews tutorial excessive gave hinttip twenty times.,After I would crashlanded once game gave tip back tap something wall ride better something tutorial.,,,,,,,,,
Amazing game I love detail amount effort put designing well first one job well done Also I wanted bring problem I have having.,There is music background I like it relaxing I watch first ad it will start glitching repeating certain parts song super frustrating distracting.,Please fix otherwise I would give stars,,,,,,,,,,,,
Fantastic sequel fantastic game.,Lived almost expectations glitching way stops able pass level.,I am stuck land backflips within m matter many extra backflips I past stuck .,I am even given option pay coins skip it.,Cmon guys game I play phone anymore kind of disappointing there is point playing anymore I am like even halfway levels.,,,,,,,,,,
Incredible game It is relaxing great way kill time great graphics top.,Additionally hard easy.,I small complaint though I am currently stuck Level specifically Smash crate drop air goal.,I have definitely smashed several crates Radio air I am completing quest.,Is bug I perhaps something wrong,,,,,,,,,,
It is amazing game I really love it.,But glitches sky I smash rock justs ruins enviroments little.,And sometimes chasm jumps quests almost impossible do.,I might bad I highly doubt reason.,But game amazing graphics great I saved alot screenshots game.,It is beautiful atompheare really feels like adventure endless dessert.,Keep good work.,,,,,,,,
I think arguably one best mobile games.,Gameplay simple fun aesthetics pretty app purchase reasonable fair ads.,That said things frustrating.,Such game recognizing I want wall ride instead making backflip fall pit thus ending run.,Also high speeds rocksobstacles seem appear nowhere night theme makes seeing obstacles lot harder.,,,,,,,,,,
Easily favorite game app store.,Altos Odyssey work art.,It opinion perfect mobile game.,Stunning visuals.,Beautiful soundtrack.,Intuitive controls.,Exciting gameplay.,The best part never seems get old.,I would rate stars lot overshadowed fact watch videos pay unlock things.,It comes cheap I wish devs would charge game instead.,,,,,
The graphics absolutely gorgeous soundtrack beautiful gives serious Journey OSD vibes The problem I rocks clearly identifiable sometimes I will trip rock I even know especially night flips pretty slow.,But amazing game I highly recommend Zen mode,,,,,,,,,,,,,
This fantastic sequel first game.,I live new additions made gameplay landscapes.,The problem I frame rate goes hard connected WiFi.,It goes back WiFi data turned off.,I think maybe there is background process ads trying preload something.,I know I never bas frame rate drops tje first game.,If fixable please get it.,,,,,,,,
Honestly good game.,The art pretty entirely playable without microtransactions watching ads.,There is even many popup ads unless go home screen playing.,The problem I mechanic character I play frequently.,The character Maya able flip faster cannot build speed easily.,Unfortunately that practically impossible cross chasms I die I find one almost every time.,,,,,,,,,
This game good flaws.,Let Us start chasms little wide.,When I make jumps I find tip cliff I crash.,And onlu way get across catch speed.,Which cases possible.,Then come stormsnight cycle simply dark.,Most objects hard see even character get lost darkness.,Possibly make chasms smaller option disable stormsnight.,,,,,,,
I beat it Those missions end game take forever point basically zen mode anyway.,This game great.,It is fun relaxing great game play listening podcast.,And I flipping beat it Only reasons stars instead annoyingly long missions end game even turning battery saving app NECCESSARY still crashed sometimes playing this problem honestly end missions darn long.,Still highly recommend game.,,,,,,,,,,
I feel like people missing point here.,This game chill first foremost built chilling.,I love light calming music right triggers caused game.,The graphics equally simplistic pleasing eyes.,The zen mode extra characters discovery aspect bonuses game focused chill needs nothing else mindless easy gameplay.,The thing breaks illusion occasional hiccup controls way sandboard activated.,,,,,,,,,
